candidate_id,username,company_name,resume_original_path,resume_admin_path,allocated_date,status
CAND_C2326324,10554236,HDFC Bank,data\ACCOUNTANT\10554236.pdf,admin_data\HDFC Bank\10554236_CAND_C2326324_resume.pdf,2025-09-11 00:20:44,Active
CAND_CF855068,10674770,HDFC Bank,data\ACCOUNTANT\10674770.pdf,admin_data\HDFC Bank\10674770_CAND_CF855068_resume.pdf,2025-09-11 00:20:44,Active
CAND_D3A57740,11759079,HDFC Bank,data\ACCOUNTANT\11759079.pdf,admin_data\HDFC Bank\11759079_CAND_D3A57740_resume.pdf,2025-09-11 00:20:44,Active
CAND_B202DA71,12065211,HDFC Bank,data\ACCOUNTANT\12065211.pdf,admin_data\HDFC Bank\12065211_CAND_B202DA71_resume.pdf,2025-09-11 00:20:44,Active
CAND_352697A3,12202337,ICICI Bank,data\ACCOUNTANT\12202337.pdf,admin_data\ICICI Bank\12202337_CAND_352697A3_resume.pdf,2025-09-11 00:20:44,Active
CAND_FA5957F7,12338274,ICICI Bank,data\ACCOUNTANT\12338274.pdf,admin_data\ICICI Bank\12338274_CAND_FA5957F7_resume.pdf,2025-09-11 00:20:44,Active
CAND_D10D1A3A,12442909,ICICI Bank,data\ACCOUNTANT\12442909.pdf,admin_data\ICICI Bank\12442909_CAND_D10D1A3A_resume.pdf,2025-09-11 00:20:44,Active
CAND_9E439661,12780508,HDFC Bank,data\ACCOUNTANT\12780508.pdf,admin_data\HDFC Bank\12780508_CAND_9E439661_resume.pdf,2025-09-11 00:20:44,Active
CAND_BB56398D,12802330,ICICI Bank,data\ACCOUNTANT\12802330.pdf,admin_data\ICICI Bank\12802330_CAND_BB56398D_resume.pdf,2025-09-11 00:20:44,Active
CAND_3AAF2C5D,13072019,ICICI Bank,data\ACCOUNTANT\13072019.pdf,admin_data\ICICI Bank\13072019_CAND_3AAF2C5D_resume.pdf,2025-09-11 00:20:44,Active
CAND_23FEAFD9,13130984,ICICI Bank,data\ACCOUNTANT\13130984.pdf,admin_data\ICICI Bank\13130984_CAND_23FEAFD9_resume.pdf,2025-09-11 00:20:44,Active
CAND_20A2E51B,13294301,ICICI Bank,data\ACCOUNTANT\13294301.pdf,admin_data\ICICI Bank\13294301_CAND_20A2E51B_resume.pdf,2025-09-11 00:20:44,Active
CAND_ADFC1AFA,13491889,ICICI Bank,data\ACCOUNTANT\13491889.pdf,admin_data\ICICI Bank\13491889_CAND_ADFC1AFA_resume.pdf,2025-09-11 00:20:44,Active
CAND_9FF88D0C,13701259,ICICI Bank,data\ACCOUNTANT\13701259.pdf,admin_data\ICICI Bank\13701259_CAND_9FF88D0C_resume.pdf,2025-09-11 00:20:44,Active
CAND_8DFD47A4,14055988,ICICI Bank,data\ACCOUNTANT\14055988.pdf,admin_data\ICICI Bank\14055988_CAND_8DFD47A4_resume.pdf,2025-09-11 00:20:44,Active
CAND_62E8BDE7,14126433,ICICI Bank,data\ACCOUNTANT\14126433.pdf,admin_data\ICICI Bank\14126433_CAND_62E8BDE7_resume.pdf,2025-09-11 00:20:44,Active
CAND_8E6842B5,14224370,ICICI Bank,data\ACCOUNTANT\14224370.pdf,admin_data\ICICI Bank\14224370_CAND_8E6842B5_resume.pdf,2025-09-11 00:20:44,Active
CAND_E06D888D,14449423,ICICI Bank,data\ACCOUNTANT\14449423.pdf,admin_data\ICICI Bank\14449423_CAND_E06D888D_resume.pdf,2025-09-11 00:20:45,Active
CAND_C98395A4,14470533,HDFC Bank,data\ACCOUNTANT\14470533.pdf,admin_data\HDFC Bank\14470533_CAND_C98395A4_resume.pdf,2025-09-11 00:20:45,Active
CAND_5F982B2A,14491649,ICICI Bank,data\ACCOUNTANT\14491649.pdf,admin_data\ICICI Bank\14491649_CAND_5F982B2A_resume.pdf,2025-09-11 00:20:45,Active
CAND_E1204520,14496667,HDFC Bank,data\ACCOUNTANT\14496667.pdf,admin_data\HDFC Bank\14496667_CAND_E1204520_resume.pdf,2025-09-11 00:20:45,Active
CAND_9F76B969,15289348,ICICI Bank,data\ACCOUNTANT\15289348.pdf,admin_data\ICICI Bank\15289348_CAND_9F76B969_resume.pdf,2025-09-11 00:20:45,Active
CAND_6375937A,15363277,ICICI Bank,data\ACCOUNTANT\15363277.pdf,admin_data\ICICI Bank\15363277_CAND_6375937A_resume.pdf,2025-09-11 00:20:45,Active
CAND_B09C26E6,15592167,ICICI Bank,data\ACCOUNTANT\15592167.pdf,admin_data\ICICI Bank\15592167_CAND_B09C26E6_resume.pdf,2025-09-11 00:20:45,Active
CAND_81DF6303,15821633,HDFC Bank,data\ACCOUNTANT\15821633.pdf,admin_data\HDFC Bank\15821633_CAND_81DF6303_resume.pdf,2025-09-11 00:20:45,Active
CAND_3D7998E3,15906625,ICICI Bank,data\ACCOUNTANT\15906625.pdf,admin_data\ICICI Bank\15906625_CAND_3D7998E3_resume.pdf,2025-09-11 00:20:45,Active
CAND_28887E83,16237710,Ogilvy,data\ACCOUNTANT\16237710.pdf,admin_data\Ogilvy\16237710_CAND_28887E83_resume.pdf,2025-09-11 00:20:45,Active
CAND_E6706C1A,17306905,HDFC Bank,data\ACCOUNTANT\17306905.pdf,admin_data\HDFC Bank\17306905_CAND_E6706C1A_resume.pdf,2025-09-11 00:20:45,Active
