candidate_id,username,company_name,position,location,sector,stipend,match_score,allocated_date,status,location_match_score,diversity_bonus,internship_id
CAND_C2326324,10554236,HDFC Bank,Finance Intern,Mumbai,Finance,69279,90.0,2025-09-07 23:27:49,Allocated,,,
CAND_CF855068,10674770,HDFC Bank,Finance Intern,Mumbai,Finance,69279,70.0,2025-09-07 23:27:52,Allocated,,,
CAND_D3A57740,11759079,HDFC Bank,Finance Intern,Mumbai,Finance,34049,90.0,2025-09-07 23:27:54,Allocated,,,
CAND_B202DA71,12065211,HDFC Bank,Finance Intern,Mumbai,Finance,69079,80.0,2025-09-07 23:27:56,Allocated,,,
CAND_352697A3,12202337,ICICI Bank,Finance Intern,Delhi,Finance,33919,88.0,2025-09-07 23:27:57,Allocated,,,
CAND_FA5957F7,12338274,ICICI Bank,Finance Intern,Delhi,Finance,33919,88.0,2025-09-07 23:27:59,Allocated,,,
CAND_D10D1A3A,12442909,ICICI Bank,Finance Intern,Delhi,Finance,33919,90.0,2025-09-07 23:28:00,Allocated,,,
CAND_9E439661,12780508,HDFC Bank,Finance Intern,Mumbai,Finance,69279,70.0,2025-09-07 23:28:02,Allocated,,,
CAND_BB56398D,12802330,ICICI Bank,Finance Intern,Delhi,Finance,33919,80.0,2025-09-07 23:28:04,Allocated,,,
CAND_3AAF2C5D,13072019,ICICI Bank,Finance Intern,Delhi,Finance,33919,80.0,2025-09-07 23:28:05,Allocated,,,
CAND_23FEAFD9,13130984,ICICI Bank,Finance Intern,Delhi,Finance,24101,70.0,2025-09-07 23:28:06,Allocated,,,
CAND_20A2E51B,13294301,ICICI Bank,Finance Intern,Delhi,Finance,33919,90.0,2025-09-07 23:28:08,Allocated,,,
CAND_ADFC1AFA,13491889,ICICI Bank,Finance Intern,Delhi,Finance,24101,70.0,2025-09-07 23:28:10,Allocated,,,
CAND_9FF88D0C,13701259,ICICI Bank,Finance Intern,Delhi,Finance,33919,90.0,2025-09-07 23:28:11,Allocated,,,
CAND_8DFD47A4,14055988,ICICI Bank,Finance Intern,Delhi,Finance,33919,88.0,2025-09-07 23:28:12,Allocated,,,
CAND_62E8BDE7,14126433,ICICI Bank,Finance Intern,Delhi,Finance,33919,88.0,2025-09-07 23:28:14,Allocated,,,
CAND_8E6842B5,14224370,ICICI Bank,Finance Intern,Delhi,Finance,33919,80.0,2025-09-07 23:28:15,Allocated,,,
CAND_E06D888D,14449423,ICICI Bank,Finance Intern,Delhi,Finance,33919,90.0,2025-09-07 23:28:17,Allocated,,,
